SubAgency,Description,Location,Belts,Personal Injury,Property Damage,CommercialLicense,CommercialVehicle,Alcohol,State,Make,Model,Color,ViolationType,Charge,ContributedToAccident,Race,Gender,Driver State,DL State,ArrestType
"4th district, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",VEIRS MILL RD /  REEDIE DR,No,No,No,No,No,No,MD,INFINITY,Q56,WHITE,Citation,21-901.1(b),No,HISPANIC,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,GEORGIA AVE AT SHOREFIELD RD,No,No,No,No,No,No,DC,VW,JETTA,GRAY,Warning,21-801.1,No,BLACK,F,DC,DC,A - Marked Patrol
"1st district, Rockville",IMPROPER NUMBER OF TIEDOWNS USED FOR LENGTH OF CARGO,DUBARRY DR 19500 BLOCK,No,No,No,No,Yes,No,VA,FORD,F650,WHITE,Warning,11-393.11(0a),No,BLACK,M,VA,VA,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",UNSAFE LANE CHANGING,FIRSTFIELD RD/QUINCE ORCHARD RD,No,No,No,No,No,No,MD,HOND,TK,SILVER,Warning,21-309(b),No,WHITE,M,DC,DC,A - Marked Patrol
"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",MIDDLEBROOK RD/CRYSTAL ROCK DRIVE,No,No,No,Yes,No,No,MD,FIRD,FUSION,BLACK,Citation,16-303(h),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",OPERATOR NOT RESTRAINED BY SEATBELT,REXMORE DR AT LOCBURY,No,No,No,No,No,No,VA,MITS,MIRAGE,WHITE,Citation,22-412.3(b),No,ASIAN,M,MD,VA,B - Unmarked Patrol
"2nd district, Bethesda",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,WOODMONT AVE AT BATTERY LANE,No,No,No,No,No,No,MD,HOND,4S,GRAY,Warning,22-226(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,3560 BRIGGS CHANEY RD / 4200 MEDALLION D,No,No,Yes,No,No,No,MD,MITS,OUTLANDER,SILVER,Citation,21-801(b),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STOP SIGN LINE,WATKINS MILL RD AND TRAVIS AVE,No,No,No,No,No,No,MD,CHYS,4S,SILVER,Citation,21-707(a),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,29 / INDUSTRIALPKWAY,No,No,No,No,No,No,MD,FORD,E-350,RED,Warning,13-411(a),No,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,GEORGIA AVE @ ICC,No,No,No,No,No,No,MD,JEEP,CHEROKEE,BLUE,Warning,13-411(c1),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,14000 BLOCK CASTLE BLVD,No,No,No,No,No,No,MD,TOYT,4S,BLACK,Warning,16-116(a),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",EAST WEST HWY @ ROSEMARY HILLS DR,No,No,No,No,No,No,MD,NISSAN,ALTIMA,WHITE,Citation,16-303(h),No,BLACK,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DISPLAY SUSPENDED LIC.,NB RIVER RD AND BURDETTE RD,No,No,No,No,No,No,MD,CHRY,TOWN AND COUNTR,BROWN,Citation,16-301(e),No,BLACK,F,MD,MD,S - License Plate Recognition
"6th district, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,WEST DEER PARK DRIVE/FAIRBANKS DRIVE,No,No,No,No,No,No,MD,CHEVY,ASTROVAN,WHITE,Citation,16-112(c),No,OTHER,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,GEORGIA AVE/ WINDHAM LA,No,No,No,No,No,No,MD,TOYT,4S,RED,Warning,13-410(e2),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,COLUMBIA PIKE @ TECH RD,No,No,No,No,No,No,MD,TOYOTA,CAMRY,GRAY,Citation,21-801(b),No,BLACK,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,EAST WEST HWY@DONNYBROOK DR,No,No,No,No,No,No,VA,DODGE,DAKOTA,WHITE,Warning,21-801.1,No,HISPANIC,M,VA,VA,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,200 BLK KENTLANDS BLVD,No,No,No,No,No,No,MD,TOYT,COROLLA,GOLD,Citation,21-202(m),No,ASIAN,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING FROM A PRIVATE DRIVEWAY,COLUMBIA PIKE NB 29,No,No,No,No,No,No,MD,SUBURAU,OUTBACK,TAN,Warning,21-404(b),No,WHITE,M,CA,CA,A - Marked Patrol
"3rd district, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,29 AT INDUSTRIAL,No,No,No,No,No,No,MD,MINI,COOPER,BLUE,Warning,21-801.1,No,WHITE,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,NB 29 / CHERRY HILL ROAD,No,No,No,No,No,No,MD,KIA,RIO,GOLD,Citation,21-804(a),No,BLACK,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 54 MPH IN A POSTED 45 MPH ZONE,S/B NEW HAMPSHIRE AVE/BRYANTS NURSERY RD,No,No,No,No,No,No,MD,CADI,ESCALADE,BLACK,Citation,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"1st district, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,E GUDE DR AT NORBECK RD,No,No,No,No,No,No,MD,KIA,SUV,"GREEN, LGT",Warning,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,TWIG / BRIGGS CHANEY,No,No,No,No,No,No,MD,TOYT,CAMRY,"GREEN, LGT",Warning,22-204(f),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton","DRIVER WRITING,SENDING,READING A TEXT,ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY",BEL PRE RD AT ARCTIC AVE,No,No,No,No,No,No,MD,TOYOTA,CAMRY,BLACK,Warning,21-1124.1(b),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,RAMMP FROM NB I270 ONTO MONTG VILLAGE AV,No,No,No,No,No,No,MD,CADILLAC,COUPE,GRAY,Warning,13-411(c1),No,WHITE,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,N/B GERMANTOWN RD @ BOWMAN MILL DR,No,No,No,No,No,No,MD,SUBARU,IMPREZE,BLACK,Citation,21-902(a2),No,HISPANIC,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,495/355,No,No,No,Yes,No,No,MD,TOYOTA,COROLLA,BLUE,Citation,16-303(c),No,BLACK,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,8641 16TH STREET,No,No,No,No,No,No,VA,FORD,EXPEDITION SUV,WHITE,Citation,16-101(a),No,BLACK,M,DC,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,STEDWICK RD @ WATKINS MILL RD,No,No,No,No,No,No,MD,SUBA,4S,SILVER,Warning,16-116(a),No,ASIAN,M,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,SB NEW HAMPSHIRE AVE @ NORTHWEST DR,No,No,No,No,No,No,MD,NISSAN,MAXIMA,SILVER,Warning,16-116(a),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",DRIVING VEH. NOT EQUIPPED WITH AN IGNITION INTERLOCK AS REQUIRED BY PROGRAM,VEIRS MILL RD/GRIDLEY RD,No,No,No,No,No,No,MD,HYUN,ELANTRA,RED,Citation,16-113(k),No,BLACK,F,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE,CRABBS BRANCH WAY/INDIAN HILLS DR,No,No,No,No,No,No,MD,FORD,2S,SILVER,Citation,21-801.1,No,WHITE,M,MD,MD,I - Marked Moving Radar (Moving)
"5th district, Germantown",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,KENTLANDS/BOOTH,No,No,No,No,No,No,MD,CHEV,CAMARO,RED,Warning,13-401(h),No,BLACK,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.,CONNECTICUT AVE @ BRADLEY BLVD,No,No,No,No,No,No,MD,MAZDA,2,GREEN,Warning,22-209(b),No,BLACK,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,GEORGIA AVE / RANDOLPH RD,No,No,No,No,No,No,MD,TOYOTA,4D,RED,Warning,21-402(a),No,BLACK,F,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER CHANGING LANES WHEN UNSAFE,SB ROUTE 29 @ CHERRY HILL RD RAMP,No,No,No,No,No,No,DC,TOYT,4RUNNER,SILVER,Citation,21-309(b),No,BLACK,M,DC,DC,A - Marked Patrol
"3rd district, Silver Spring","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",COLUMBIA PIKE / BURNT MILLS AVE,No,No,No,No,No,No,MD,HONDA,ACCORD,RED,Citation,21-901.1(b),No,ASIAN,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVING VEH. ON HWY WITH LAMP IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR,OLD GEORGETOWN RD @ 495,No,No,No,No,No,No,MD,CHRY,SEBRING,BLUE,Warning,22-227(d),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,MIDDLEBROOK RD @ GERMANTOWN RD,No,No,No,No,No,No,MD,AUDI,A4,GRAY,Warning,21-201(a1),No,HISPANIC,M,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,RIFFLE FORD RD @ BRANDON WAY,No,No,No,No,No,No,MD,HONDA,ACCORD,SILVER,Citation,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"1st district, Rockville",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,WOOTTON PARKWAY AND SEVEN LOCKS,No,No,No,No,No,No,MD,JEEP,JEEP,BLACK,Warning,21-801(a),No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,10244 RIVER ROAD (SHOPPING CENTER),No,No,No,No,No,No,MD,MERCEDEZ,C300,BLACK,Citation,21-801(b),Yes,WHITE,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,SB RT 650 AT SAPLING RIDGE LANE,No,No,No,No,No,No,MD,CHEV,EQUINOX,GRAY,Warning,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"1st district, Rockville",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,TOWER OAKS BLVD/ I270,No,No,No,No,No,No,MD,MAZDA,6,SILVER,Citation,21-204(d),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,NB RT 29/ BLACKBURN RD,No,No,No,No,No,No,MD,TOYT,CAMRY,TAN,Citation,16-101(a),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,CALVERTON BOULEVARD AND HUNTERS POINTE,No,No,No,No,No,No,MD,CHEV,4S,SILVER,Warning,22-204(f),No,BLACK,M,MD,MD,A - Marked Patrol
"5th district, Germantown",DRIVER FAILURE TO STOP AT STOP SIGN LINE,OBSERVATION DR @ BOLAND FARM RD,No,No,No,No,No,No,MD,MAZDA,6,RED,Warning,21-707(a),No,OTHER,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",USE OF INCORRECT COLOR IN LIGHTING REFLECTORS MOUNTED ON REAR OF VEHICLE,ODEND HAL AVE AND LOST KNIFE RD,No,No,No,No,No,No,MD,FORD,CN,BLACK,Warning,22-227(f),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",VEH. HWY. OPERATION WITH INADEQUATE SIDE LIGHT,PINEY BRANCH RD/ SLIGO AVE,No,No,No,No,No,No,MD,TOYOTA,CAMRY,GRAY,Warning,22-211(b),No,BLACK,M,MD,MD,B - Unmarked Patrol
Headquarters and Special Operations,WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,28 @ POTOMAC ST,No,No,No,No,No,No,MD,HONDA,CIVIC 4D,GREEN,Warning,21-804(a),No,ASIAN,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,WISCONSIN AND JONES BRIDGE,No,No,No,No,No,No,MD,HONDA,FIT,SILVER,Warning,13-409(b),No,ASIAN,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",KNOWINGLY DRIVING UNINSURED VEHICLE,NB 355/CHRISTOPHER AVE,No,No,No,No,No,No,MD,CHEV,TAHOE,WHITE,Warning,17-107,No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,OLD COLUMIA AND RANDOLF,No,No,No,No,No,No,MD,CHEV,EXPASS,WHITE,Citation,21-201(a1),No,WHITE,M,MD,MD,A - Marked Patrol
Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,RT 28 @ NORBECK RD,No,No,No,No,No,No,MD,FORD,TK,GRAY,Citation,16-303(c),No,HISPANIC,F,MD,MD,A - Marked Patrol
Headquarters and Special Operations,OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,50 COURTHOUSE SQ,No,No,No,No,No,No,VA,CADI,STS 4D,SILVER,Citation,22-412.3(b),No,WHITE,M,VA,VA,A - Marked Patrol
"2nd district, Bethesda",EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,270 @ MONTROSE RD,No,No,No,No,No,No,MD,DODGE,TRUCK,MAROON,Citation,21-801.1,No,WHITE,M,MD,MD,A - Marked Patrol
"2nd district, Bethesda",FAILURE TO STOP AT STOP SIGN,WILSON LA / MAC ARTHUR BLVD,No,No,No,No,No,No,VA,BMW,328I 4S,WHITE,Warning,21-707(a),No,WHITE,F,VA,VA,A - Marked Patrol
"5th district, Germantown",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,MIDDLEBROOK RD AT SB RT 270 RAMP,No,No,No,No,No,No,MD,TOYO,4S,BLACK,Warning,21-204(b),No,OTHER,M,MD,MD,B - Unmarked Patrol
"1st district, Rockville",FAILURE TO STOP AT STOP SIGN,SHADY GROVE RD/PINEY MEETINGHOUSE RD,No,No,No,No,No,No,MD,AUDI,S5,BLACK,Warning,21-707(a),No,WHITE,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",KNOWINGLY DRIVING UNINSURED VEHICLE,GEORGIA AVE / GLENALLAN AVE,No,No,No,No,No,No,MD,DODG,TK,GRAY,Warning,17-107,No,BLACK,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVING ON HWY. WITH OBSTRUCTED WINDSHIELD VIEW,UNIVERSITY BLVD W/AMHERST AVE,No,No,No,No,No,No,MD,CHEVY,EXPRESS,WHITE,Warning,21-1104(c),No,HISPANIC,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,DALE DR / WAYNE AVE,No,No,No,No,No,No,MD,TOYOTA,RAV4,RED,Warning,21-204(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"5th district, Germantown",OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,MIDDLEBROOK RD/LOCBURY DR,No,No,No,No,No,No,MD,TOYOTA,4S,GOLD,Warning,22-412.3(b),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.,BRIGGS CHANEY RD @ CASTLE BLVD,No,No,No,No,No,No,MD,HONDA,CIVIC,RED,Warning,22-209(b),No,BLACK,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,NEW HAMPSHIRE AVE @ CHALMERS ROAD,No,No,No,No,No,No,MD,TOYOTA,SIENNA,SILVER,Warning,13-409(b),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,SB RT 29 @ LOCKWOOD DR,No,No,No,No,No,No,MD,CHRYSLER,300,SILVER,Citation,16-101(a),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,CLOPPER RD E/B @ ORCHARD HILLS DR,No,No,No,No,No,No,AZ,FORD,E450,WHITE,Warning,16-116(a),No,BLACK,M,MD,VA,Q - Marked Laser
"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,GEORGIA AVE AT CONNECTICUT AVE,No,No,No,No,No,No,MD,CHEVROLET,G2500,WHITE,Citation,16-303(g),No,OTHER,M,MD,MA,A - Marked Patrol
"1st district, Rockville",POSSESSING SUSPENDED LIC.,KEY WEST AVE / GREAT SENECA HWY,Yes,No,No,No,No,No,MD,FORD,ESCAPE,BLACK,Citation,16-301(j),No,WHITE,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,WATKINS MILL RD (LEFT TURN FROM WMES),No,No,No,No,No,No,MD,FORD,4S,BLACK,Warning,16-116(a),No,HISPANIC,F,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,3300 BLOCK OF DAMASCUS ROAD,No,No,No,No,No,No,MD,LEXUS,TK,SILVER,Citation,21-801.1,No,BLACK,M,MD,MD,Q - Marked Laser
"2nd district, Bethesda",FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.,OLD GEORGETOWN RD/ BATTERY LN,No,No,No,No,No,No,PA,FORD,FOCUS,BLUE,Warning,22-209(b),No,WHITE,M,PA,PA,A - Marked Patrol
"1st district, Rockville",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,E. GUDE DR/SOUTHLAWN LA,No,No,No,No,No,No,MD,HYUN,4S,BLACK,Warning,21-204(d),No,BLACK,M,MD,MD,A - Marked Patrol
"1st district, Rockville",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,E/B MD 28 @ DUFIEF DR,No,No,No,No,No,No,MD,TOYOTA,COROLLA,BLUE,Citation,21-801.1,No,BLACK,F,MD,MD,Q - Marked Laser
"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,NB GEORGIA AVE @ 29,No,No,No,No,No,No,DC,MAZADA,626,"GREEN, DK",Citation,21-201(a1),No,BLACK,M,DC,DC,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,880 RUSSELL AVE @ CHRISTOPHER AVE,No,No,Yes,No,No,No,MD,JEEP,GRAND CHEROKEE,SILVER,Citation,21-402(a),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,AVENEL RD & HAMPSHIRE WEST CT,No,No,No,No,No,No,MD,BMW,328I,BLACK,Warning,13-411(a),No,OTHER,U,XX,XX,A - Marked Patrol
Headquarters and Special Operations,STOPPING VEH. ON CROSSWALK,AMHERST AVE @ REEDIE DR,No,No,No,No,No,No,MD,TOYO,4S,RED,Warning,21-1003(e),No,NATIVE AMERICAN,M,NC,NC,B - Unmarked Patrol
"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,FALLS RD AND RIVER RD,No,No,No,No,No,No,MD,DODGE,RAM TRUCK,SILVER,Warning,21-801(b),No,WHITE,M,VA,VA,A - Marked Patrol
"3rd district, Silver Spring",OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,RAMSEY AVE / WAYNE AVE,No,No,No,No,No,No,MD,TOYOTA,CAMRY 4S,BLUE,Citation,17-104,No,BLACK,M,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,QUINCE ORCHARD / FIRST FIELD RD,No,No,No,No,No,No,MD,VW,GTI,SILVER,Citation,16-113(h),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,NORBECK RD / FIRESTONE DR,No,No,No,No,No,No,GA,MAZDA,SUV,GRAY,Warning,21-801.1,No,WHITE,F,MD,MD,Q - Marked Laser
"6th district, Gaithersburg / Montgomery Village",PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT,S/B 270 PRIOR TO EXIT 6,No,No,No,No,No,No,VA,CHEVY,EQUINOX,BLACK,Warning,22-412.3(c3),No,WHITE,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,ADELPHI ROAD AT SIERRA STREET,No,No,No,No,No,No,MD,TOYOTA,SIENNA,GRAY,Citation,21-801(b),No,HISPANIC,M,MD,MD,A - Marked Patrol
"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,GEORGIA  AVENUE @ URBANA DR,No,No,No,No,No,No,MD,HOND,2S,BLUE,Warning,21-201(a1),No,ASIAN,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,SNOUFFER SCHOOL RD @ TURKEY THICKET RD,No,No,No,No,No,No,MD,FORD,FOCUS,SILVER,Warning,21-310(a),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,MID COUNTY HWY / WOODFIELD RD,No,No,No,No,No,No,MD,MITSUBISHI,OUTLANDER,WHITE,Warning,21-202(h1),No,OTHER,F,MD,MD,A - Marked Patrol
"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,198 @ OLD COLUMBIA PIKE,No,No,No,No,No,No,MD,NISSAN,ALTIMA,SILVER,Citation,21-1124.2(d2),No,BLACK,F,MD,MD,A - Marked Patrol
"6th district, Gaithersburg / Montgomery Village",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,SHADY GROVE RD/ICC ON RAMP,No,No,No,No,No,No,MD,DODGE,CHARGER,BLACK,Warning,13-411(c1),No,WHITE,M,MD,MD,A - Marked Patrol
"1st district, Rockville",STOPLIGHT INOPERATIVE,TOWER OAKS BOULEVARD / INTERSTATE 270,No,No,No,No,No,No,DC,PONTIAC,VIBE,BLUE,Warning,11-393.9,No,WHITE,F,DC,DC,A - Marked Patrol
"4th district, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,NORBECK RD/ ROCKING SPRING DR,No,No,No,No,No,No,MD,TOYOTA,RAV4,GOLD,Warning,21-801.1,No,OTHER,M,MD,MD,A - Marked Patrol
"3rd district, Silver Spring",DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,NB GEORGIA AVE / COLESVILLE RD,No,No,No,No,No,No,VA,TOYOTA,CAMRY 4S,BEIGE,Citation,21-202(h2),No,WHITE,M,VA,VA,A - Marked Patrol
"5th district, Germantown",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,KINGSVIEW RD AT CLOPPER RD,No,No,No,No,No,No,MD,INFI,4S,"BLUE, DARK",Warning,21-801(a),No,OTHER,M,MD,MD,B - Unmarked Patrol
